"","riding_code","forecast_winner"
"1",59001,"CPC"
"2",24001,"LPC"
"3",24002,"LPC"
"4",13001,"BQ"
"5",24003,"LPC"
"6",35001,"CPC"
"7",24004,"LPC"
"8",35002,"CPC"
"9",24005,"LPC"
"10",35003,"CPC"
"11",10001,"CPC"
"12",24006,"BQ"
"13",24009,"BQ"
"14",48001,"CPC"
"15",35004,"CPC"
"16",35005,"CPC"
"17",48002,"CPC"
"18",47001,"CPC"
"19",35006,"CPC"
"20",35007,"CPC"
"21",24007,"LPC"
"22",24020,"LPC"
"23",24008,"LPC"
"24",13002,"LPC"
"25",24010,"LPC"
"26",24011,"LPC"
"27",24012,"BQ"
"28",10002,"CPC"
"29",24015,"LPC"
"30",48003,"CPC"
"31",35008,"CPC"
"32",35009,"CPC"
"33",35010,"CPC"
"34",35011,"CPC"
"35",35012,"CPC"
"36",46001,"CPC"
"37",35013,"CPC"
"38",24016,"LPC"
"39",24017,"LPC"
"40",35014,"CPC"
"41",35015,"CPC"
"42",59002,"CPC"
"43",59003,"CPC"
"44",48004,"CPC"
"45",48005,"CPC"
"46",48006,"CPC"
"47",48007,"CPC"
"48",48008,"CPC"
"49",48009,"CPC"
"50",48010,"CPC"
"51",48011,"CPC"
"52",48012,"CPC"
"53",48013,"CPC"
"54",35016,"CPC"
"55",12001,"CPC"
"56",11001,"CPC"
"57",59004,"CPC"
"58",35088,"CPC"
"59",47004,"CPC"
"60",12002,"CPC"
"61",59005,"CPC"
"62",24021,"LPC"
"63",24019,"LPC"
"64",46002,"CPC"
"65",11002,"CPC"
"66",35017,"CPC"
"67",24022,"LPC"
"68",59006,"CPC"
"69",46003,"LPC"
"70",46003,"CPC"
"71",46003,"NDP"
"72",46003,"BQ"
"73",59007,"CPC"
"74",10003,"CPC"
"75",24023,"LPC"
"76",59008,"CPC"
"77",59009,"CPC"
"78",59010,"CPC"
"79",12003,"CPC"
"80",47002,"CPC"
"81",12004,"CPC"
"82",46004,"CPC"
"83",35018,"CPC"
"84",59011,"CPC"
"85",47003,"CPC"
"86",35019,"CPC"
"87",35020,"LPC"
"88",35021,"CPC"
"89",24024,"LPC"
"90",24025,"LPC"
"91",35022,"CPC"
"92",35023,"CPC"
"93",48021,"CPC"
"94",48014,"CPC"
"95",48015,"CPC"
"96",48016,"CPC"
"97",48017,"CPC"
"98",48018,"CPC"
"99",48019,"CPC"
"100",48020,"CPC"
"101",35024,"CPC"
"102",11003,"CPC"
"103",35025,"CPC"
"104",46005,"CPC"
"105",59026,"CPC"
"106",35026,"CPC"
