"","Riding","Sex","Ethnic Origins","n","freq"
"1","Avalon","Male","Canadian",24800,0.447169130905157
"2","Avalon","Male","English",14410,0.259826902271908
"3","Avalon","Male","Scottish",2340,0.0421925712225027
"4","Avalon","Male","French",1195,0.0215470609448251
"5","Avalon","Male","Irish",10545,0.190137035701406
"6","Avalon","Male","German",570,0.0102776776054814
"7","Avalon","Male","Chinese",105,0.00189325640100974
"8","Avalon","Male","Italian",70,0.00126217093400649
"9","Avalon","Male","First_Nations",1315,0.0237107825459791
"10","Avalon","Male","South_Asian",110,0.00198341146772449
"11","Bonavista--Burin--Trinity","Male","Canadian",22560,0.49669749009247
"12","Bonavista--Burin--Trinity","Male","English",14045,0.309225011008366
"13","Bonavista--Burin--Trinity","Male","Scottish",1750,0.0385292822545134
"14","Bonavista--Burin--Trinity","Male","French",850,0.0187142228093351
"15","Bonavista--Burin--Trinity","Male","Irish",4755,0.104689564068692
"16","Bonavista--Burin--Trinity","Male","German",330,0.00726552179656539
"17","Bonavista--Burin--Trinity","Male","Chinese",15,0.000330250990752972
"18","Bonavista--Burin--Trinity","Male","Italian",65,0.00143108762659621
"19","Bonavista--Burin--Trinity","Male","First_Nations",985,0.0216864817261118
"20","Bonavista--Burin--Trinity","Male","South_Asian",65,0.00143108762659621
"21","Coast of Bays--Central--Notre Dame","Male","Canadian",23105,0.486421052631579
"22","Coast of Bays--Central--Notre Dame","Male","English",13900,0.292631578947368
"23","Coast of Bays--Central--Notre Dame","Male","Scottish",1930,0.0406315789473684
"24","Coast of Bays--Central--Notre Dame","Male","French",955,0.0201052631578947
"25","Coast of Bays--Central--Notre Dame","Male","Irish",4240,0.0892631578947368
"26","Coast of Bays--Central--Notre Dame","Male","German",380,0.008
"27","Coast of Bays--Central--Notre Dame","Male","Chinese",90,0.00189473684210526
"28","Coast of Bays--Central--Notre Dame","Male","Italian",70,0.00147368421052632
"29","Coast of Bays--Central--Notre Dame","Male","First_Nations",2760,0.0581052631578947
"30","Coast of Bays--Central--Notre Dame","Male","South_Asian",70,0.00147368421052632
"31","Labrador","Male","Canadian",5290,0.364074328974535
"32","Labrador","Male","English",3835,0.263936682725396
"33","Labrador","Male","Scottish",860,0.0591878871300757
"34","Labrador","Male","French",825,0.0567790777701308
"35","Labrador","Male","Irish",1490,0.102546455609085
"36","Labrador","Male","German",235,0.016173434273916
"37","Labrador","Male","Chinese",30,0.00206469373709566
"38","Labrador","Male","Italian",55,0.00378527185134205
"39","Labrador","Male","First_Nations",1825,0.125602202339986
"40","Labrador","Male","South_Asian",85,0.00584996558843771
"41","Long Range Mountains","Male","Canadian",22195,0.353508003504022
"42","Long Range Mountains","Male","English",15440,0.245918611133232
"43","Long Range Mountains","Male","Scottish",2750,0.0438002707653102
"44","Long Range Mountains","Male","French",4830,0.0769292028350721
"45","Long Range Mountains","Male","Irish",5295,0.0843354304372063
"46","Long Range Mountains","Male","German",705,0.0112287966871068
"47","Long Range Mountains","Male","Chinese",50,0.000796368559369276
"48","Long Range Mountains","Male","Italian",80,0.00127418969499084
"49","Long Range Mountains","Male","First_Nations",11325,0.180377478697141
"50","Long Range Mountains","Male","South_Asian",115,0.00183164768654934
"51","St. John's East","Male","Canadian",18125,0.312257731070721
"52","St. John's East","Male","English",16615,0.28624343182014
"53","St. John's East","Male","Scottish",3900,0.0671892497200448
"54","St. John's East","Male","French",2330,0.0401412697045396
"55","St. John's East","Male","Irish",12485,0.215091739167887
"56","St. John's East","Male","German",1255,0.0216211559996554
"57","St. John's East","Male","Chinese",685,0.0118011887328797
"58","St. John's East","Male","Italian",365,0.00628822465328624
"59","St. John's East","Male","First_Nations",1450,0.0249806184856577
"60","St. John's East","Male","South_Asian",835,0.0143853906451891
"61","St. John's South--Mount Pearl","Male","Canadian",18680,0.348117778606038
"62","St. John's South--Mount Pearl","Male","English",15160,0.282519567648155
"63","St. John's South--Mount Pearl","Male","Scottish",3050,0.0568393589265747
"64","St. John's South--Mount Pearl","Male","French",1710,0.0318673127096534
"65","St. John's South--Mount Pearl","Male","Irish",12215,0.227636973537085
