"","Riding","Sex","Official Language Spoken","n","freq"
"1","Avalon","Male","English",41975,0.994668246445498
"2","Avalon","Male","French",95,0.00225118483412322
"3","Avalon","Male","English_and_French",15,0.000355450236966825
"4","Avalon","Male","Neither",10,0.00023696682464455
"5","Avalon","Male","Language_Minority",105,0.00248815165876777
"6","Bonavista--Burin--Trinity","Male","English",36335,0.995479452054794
"7","Bonavista--Burin--Trinity","Male","French",80,0.00219178082191781
"8","Bonavista--Burin--Trinity","Male","English_and_French",0,0
"9","Bonavista--Burin--Trinity","Male","Neither",5,0.000136986301369863
"10","Bonavista--Burin--Trinity","Male","Language_Minority",80,0.00219178082191781
"11","Coast of Bays--Central--Notre Dame","Male","English",37710,0.994986807387863
"12","Coast of Bays--Central--Notre Dame","Male","French",75,0.00197889182058048
"13","Coast of Bays--Central--Notre Dame","Male","English_and_French",10,0.000263852242744063
"14","Coast of Bays--Central--Notre Dame","Male","Neither",25,0.000659630606860158
"15","Coast of Bays--Central--Notre Dame","Male","Language_Minority",80,0.00211081794195251
"16","Labrador","Male","English",13370,0.957050823192556
"17","Labrador","Male","French",245,0.0175375805297065
"18","Labrador","Male","English_and_French",35,0.00250536864710093
"19","Labrador","Male","Neither",60,0.00429491768074445
"20","Labrador","Male","Language_Minority",260,0.0186113099498926
"21","Long Range Mountains","Male","English",41485,0.987150505651398
"22","Long Range Mountains","Male","French",250,0.00594883997620464
"23","Long Range Mountains","Male","English_and_French",15,0.000356930398572278
"24","Long Range Mountains","Male","Neither",15,0.000356930398572278
"25","Long Range Mountains","Male","Language_Minority",260,0.00618679357525283
"26","St. John's East","Male","English",40905,0.981877100336054
"27","St. John's East","Male","French",270,0.00648103696591455
"28","St. John's East","Male","English_and_French",75,0.00180028804608737
"29","St. John's East","Male","Neither",105,0.00252040326452232
"30","St. John's East","Male","Language_Minority",305,0.00732117138742199
"31","St. John's South--Mount Pearl","Male","English",38840,0.986663279563064
"32","St. John's South--Mount Pearl","Male","French",190,0.00482662263431983
"33","St. John's South--Mount Pearl","Male","English_and_French",30,0.000762098310682078
"34","St. John's South--Mount Pearl","Male","Neither",100,0.00254032770227359
"35","St. John's South--Mount Pearl","Male","Language_Minority",205,0.00520767178966087
"36","Cardigan","Male","English",17465,0.958825144111996
"37","Cardigan","Male","French",220,0.012077957727148
"38","Cardigan","Male","English_and_French",15,0.000823497117760088
"39","Cardigan","Male","Neither",290,0.015920944276695
"40","Cardigan","Male","Language_Minority",225,0.0123524567664013
"41","Charlottetown","Male","English",15835,0.940041555357673
