,cps19_ResponseId,ethnicity
0,R_1OpYXEFGzHRUpjM,Canadian
2,R_USWDAPcQEQiMmNb,Italian
4,R_27WeMQ1asip2cMD,Canadian
6,R_1Iu8R1UlYzVMycz,Canadian
7,R_2EcS26hqrcVYlab,German
9,R_10OBmXJyvn8feYQ,Canadian
10,R_2e5nvu0UchQctgq,Indian
13,R_3j7fAVYfVCewi3H,Indian
19,R_12r93bwCcrge7qz,Canadian
20,R_brdMqsPTvQ5t1tL,English
21,R_Wumhl7QEMURFqZH,Canadian
23,R_ekyQEoYoeM4wSnT,Indian
27,R_3CTxtRUVlnuZwR9,English
28,R_2167E4uBFwL3tIw,Canadian
30,R_3fotX1MQKDhb4UK,Canadian
31,R_3E9I0FT0lJwWnhe,Canadian
32,R_1FynCZH7i2j3zEY,Canadian
33,R_OC1iy7s0tGo4O53,Canadian
34,R_1mKp6J3wuiXNVoz,Canadian
36,R_2XgN2Ob9v6Q7leV,Canadian
37,R_1FtuwG5usWZ9Ag3,Canadian
38,R_3oMWMu5zw0JQxNB,Canadian
39,R_ZaAo5kQO1Kv4mfn,Canadian
41,R_2frntmrI5rljDK8,Canadian
42,R_3O9M6HHQ8gEBBXH,Canadian
44,R_1dN3Vkq3TrktixZ,Canadian
45,R_abDZTPmtAjXIRJT,Canadian
46,R_1JDXcWCXdtFEcLZ,Canadian
48,R_D2DguhVe87Zm2S5,Canadian
49,R_2qF75AGrOr09bcd,Canadian
50,R_RRebsMZg5l2B9zH,Canadian
51,R_cC0HLiW6uR02Yrn,Canadian
53,R_1LvC0qobiceq1s4,Canadian
54,R_3HLArVVjgzRr4vK,Canadian
56,R_3pi2uMWmCV3w2B4,Indian
59,R_1OBoexcKOfBus6F,Canadian
60,R_pgAMDxgj8Ooma0F,Canadian
61,R_32OU4J2rrH7QYNk,Indian
62,R_2uWhDH3dg1PGe4O,Canadian
63,R_3ExQozQ6M1cj9Mw,Chinese
64,R_1BWaBTtP6DWgPUv,English
65,R_1Lu1zrK8ZszBXRw,Canadian
66,R_VOPyXJGn0rjp2bD,Canadian
68,R_1GC7IytxEE5kAHd,Canadian
69,R_2qdQOlSAV4cA34t,Canadian
72,R_21tgSP4vdCAIOGV,Indian
73,R_UbzsGsOza9ZJTOx,Chinese
74,R_2vjE3z4KuXNh2a2,Canadian
75,R_Cjq5KoO97U4PYzf,Canadian
78,R_3Ra9kJm1JI6K4Kt,Canadian
80,R_WkEBiJlpFtNFP6V,Canadian
81,R_2WuL4gwgSQ1C7ns,Canadian
82,R_1JCk3PWI3fsONbA,Canadian
83,R_xsAVU6LftA3gfWF,Canadian
85,R_bg7b29vnUs7gLvP,Irish
86,R_2Xik6QTgJCpeuDg,Chinese
87,R_DiYgFOuVje0hEnT,Irish
89,R_2CZLIEXUOJeIgDs,German
90,R_2cd47pXrsZRsh1H,Canadian
91,R_3CIOVyxdGAEkWLh,Canadian
93,R_2Wu0jeDP2crJZpq,Canadian
94,R_3HojhMlSO6s0221,Canadian
95,R_1dAdPpMSNlbDJTF,Chinese
97,R_1nTIzCIUyStGwZJ,Canadian
100,R_2z8xJEIRjGaLtqB,Canadian
101,R_3OdyWbYS9KtEaMJ,English
102,R_1LiGTJDKOjzc0Vm,Canadian
103,R_29iiuc9rXjUIbVA,Canadian
104,R_24rayRZvHjXVLvw,Canadian
105,R_T7QVs5y0MqZziHT,Chinese
