"cps19_ResponseId","pes19_lang","Language"
"R_1l4zKTXAk734o1D",68,"English"
"R_2WuL4gwgSQ1C7ns",68,"English"
"R_1JCk3PWI3fsONbA",68,"English"
"R_xsAVU6LftA3gfWF",68,"English"
"R_1rIWCvU8MuRHQSQ",68,"English"
"R_bg7b29vnUs7gLvP",69,"French"
"R_2Xik6QTgJCpeuDg",68,"English"
"R_30e4xFgOVpu1FWz",68,"English"
"R_2Wu0jeDP2crJZpq",68,"English"
"R_3HojhMlSO6s0221",68,"English"
"R_1dAdPpMSNlbDJTF",68,"English"
"R_3G88WcflupE6cZO",72,"Other"
"R_3OdyWbYS9KtEaMJ",68,"English"
"R_29iiuc9rXjUIbVA",68,"English"
"R_24rayRZvHjXVLvw",68,"English"
"R_1q57buTSmNsMIqL",68,"English"
"R_3pr2hyNP9hyomgo",68,"English"
"R_DBnspCtawnvRUNX",68,"English"
"R_6Dyo2klkE6NZJSN",68,"English"
"R_1E4XU2dKFtuO4zV",68,"English"
"R_2dtJmYD8NohpbiL",68,"English"
"R_wNWQGBNlBr8ntYZ",68,"English"
"R_2B2kTXliSOLC2aK",72,"Other"
"R_3KC11IMwk6GQNyw",68,"English"
"R_2CPaDGPcWLcSkzV",68,"English"
"R_3QJty7iaxQBABMZ",68,"English"
"R_2OTgYli09bN6AmM",68,"English"
"R_ULc9oL7y5NgHCcp",68,"English"
"R_1OAyGB8Ym0kT3lK",68,"English"
"R_28BecXIsc25YU9X",68,"English"
"R_1P0HXM6DJsVn3C0",68,"English"
"R_3njfkeEp00ONu0q",68,"English"
"R_RKRD4qmRNrhwtTH",68,"English"
"R_1dNBFv9hzoeljP0",68,"English"
"R_1DG3YA5j2TVa8Bs",68,"English"
"R_1JLpKxElyp4zPHy",68,"English"
"R_VQivgI4nwrZlkUV",68,"English"
"R_3VRygimwlRi957z",68,"English"
"R_1d5dSqLrgTFez4Z",68,"English"
"R_1JOBEIwxAhEhPy0",68,"English"
"R_2OSF3bRhkHSJ45Y",68,"English"
"R_1E54V9G16zwxpHz",68,"English"
"R_ddofjoaJlDDhYvD",68,"English"
"R_3Mcxg0Cstf8a4rt",68,"English"
"R_bNk1XEjD6zfR4Xv",68,"English"
"R_3r19AGHawlMqbYJ",68,"English"
"R_2QzwQeow8YGxpQq",80,"Other"
"R_2EnkttD9gjvMQmE",68,"English"
"R_1DotsVzObkBRvfo",68,"English"
"R_25TREM3VP3vuZ1k",72,"Other"
"R_2mJadSWBJNUNWAF",68,"English"
"R_3egO3KLMdRlsiJz",68,"English"
"R_2Y3A0Z8e1KdTkOy",68,"English"
"R_YPSVZ17j0qL2jcd",68,"English"
"R_2rAsYYwXrNFwUbu",68,"English"
"R_1Fezuk9e7E5mv60",68,"English"
"R_3r0NEMt1q9yB2oj",68,"English"
"R_1i8mmBKES2E8z5C",68,"English"
"R_2YArCky0wxjsLDz",68,"English"
"R_1eqsvQYbC4GNu1X",68,"English"
"R_0Ihm2PA0FmE5LjP",68,"English"
"R_1DHZv7u7shBLWkl",72,"Other"
"R_1NmlE1jFx6RVIBW",68,"English"
"R_33gvgYCjwl6J5GD",68,"English"
"R_cRVOyXzr6eavJUR",71,"Other"
"R_2TF48XAO0EVuGOd",68,"English"
"R_W2TYH2Hul9PD7BT",68,"English"
"R_26mX2zgMSeJ6xgw",68,"English"
"R_2EH2q9tCUKohLnc",68,"English"
"R_3jUM5oIRKSjOy5l",68,"English"
"R_2Pb6eqBCY7Yxlhm",68,"English"
"R_1NDkzGnBuTAhfX3",68,"English"
"R_2EbCanVDQ70GD5c",68,"English"
"R_2vkVOM1UlceC92T",68,"English"
"R_3OjrGtZnJ3X1VXq",68,"English"
"R_25EJqJcFDHVtUpQ",68,"English"
"R_bfiFI3DeSxh6pMt",68,"English"
"R_3OkL9l7BcgQgdLD",68,"English"
"R_pEsAKhc10qqPUlz",68,"English"
"R_3MzICHejpHRvkiK",69,"French"
"R_1o4H1fubSe7FlNW",68,"English"
"R_1dzT4ZdNKmTUYHe",68,"English"
"R_1lucHmscj47bIEb",68,"English"
"R_1mWA5VJSMVBcpJ4",68,"English"
"R_qI0m78Q3aHVjydr",68,"English"
"R_1eFWvRT4hNbVVV1",68,"English"
"R_2SqMRPLb1dCHXbu",68,"English"
"R_wOkztv6sfJLKiel",68,"English"
"R_30qv36aXWZuK9M6",68,"English"
"R_3j0Vve5aDo2cwSz",68,"English"
"R_1pGrRLdCemt2W8F",68,"English"
"R_1pRuOG0YodOvLGh",68,"English"
"R_3e9Xu4Bc6CkscZW",68,"English"
"R_1i20Bt1Kx0EO8bI",68,"English"
"R_1oFmwjTk4VJVifX",68,"English"
"R_DqoBw7ZmMHWgHoB",68,"English"
"R_1dagV1XDUQPaxsb",68,"English"
"R_6PQUIsQaUsOUJZ7",68,"English"
"R_3FbxNxmMSArZfP3",68,"English"
"R_3r0cFwbcvyfP6kc",68,"English"
"R_RF7tBoAipIydk2t",68,"English"
"R_23dSuZrdSAvnvUV",68,"English"
"R_YWCbuTSQdmmcGKl",68,"English"
"R_31HsUEjWfv8WU29",68,"English"
"R_1dnUyqUZjOYJq6I",68,"English"
"R_2Qzk1LAwPa9z0D7",68,"English"
"R_3HtPOiT32eHYiA6",69,"French"
"R_3prqB926VGiKpLQ",68,"English"
"R_8iCyNhsacB033NL",68,"English"
"R_yKMtKdEEbsNubIJ",68,"English"
"R_3HOBUzh5RjbIJlo",68,"English"
"R_1eQ9yw4VZiaqbmc",68,"English"
"R_3lspCSHxbzz3BSY",78,"Other"
"R_2475Kwb2I2OgUSc",68,"English"
"R_2PcY3Plnzfpncpj",68,"English"
"R_3HNC232ig0O4zRn",68,"English"
"R_1dcTstX450VSSmc",68,"English"
"R_Q6MdNP6ci3SeMDv",68,"English"
"R_3DvZ2sBpbl11Vvw",68,"English"
"R_SCbTtgzZs19jCqB",68,"English"
"R_6ujIPYl2lN6tB0R",68,"English"
"R_pzmwHJ3YolqyBR7",68,"English"
"R_1gBFBoew44yWD5O",68,"English"
"R_22PV5LctDRvXsfa",68,"English"
"R_32KKcGjV57DCNyD",68,"English"
"R_2abmDMt5EArm15T",68,"English"
"R_1QoJY7eNGjUfqnh",68,"English"
"R_3gL46e90ZGiLVaK",68,"English"
"R_efHfjn1Yu6p5Yyd",68,"English"
"R_2zCOda1QfjjD3Bn",68,"English"
"R_3kNQLs1CmqJ7270",68,"English"
"R_1jPmUocsvODHSYl",68,"English"
"R_32W1YVMFO2VcmQS",68,"English"
"R_Zfp4UaYvqPGpZwR",68,"English"
"R_2Sc81E34iMB8t6h",68,"English"
"R_2b2UBKwvnTGareq",68,"English"
"R_bxbgY81qD7VZUJj",79,"Other"
"R_3MmPgIiFuXyh4Dq",68,"English"
"R_2TKLkC7wEijVqZP",68,"English"
"R_4GxafKMoRWvb8zL",68,"English"
"R_1FPKPeoc8upEB56",68,"English"
"R_3m1ZQTO5aB7NL3T",68,"English"
"R_W660MUHAU1z8tS9",68,"English"
"R_2rkGW7gepqo2jRx",68,"English"
"R_2ZOIXJNpZN8IO1u",68,"English"
"R_XAGiODQKCnfV6uZ",68,"English"
"R_1n1Tm7Jb19pkZUY",84,"Other"
"R_xsdp1KIFkEk86bv",68,"English"
"R_2Y9bryBwr76EUGP",68,"English"
"R_voCg53AHlpFDdC1",68,"English"
"R_22tRA3Z1wJmx09z",78,"Other"
"R_1gbXsomNmdwwaDI",72,"Other"
"R_eQmls1CX8xJiUg1",68,"English"
"R_21dOatnEG6at8fC",68,"English"
"R_2EgBmNRrKwsloXi",68,"English"
"R_e9Z935oonMdUlSF",68,"English"
"R_NWQklNzqjeRw28p",68,"English"
"R_1hyWWmzolSQJr9j",68,"English"
"R_3IYOl7HzM73hhoc",68,"English"
"R_3QXFi6DCdfjQOuO",68,"English"
"R_3CDY4gDmFOQeTGB",68,"English"
"R_2zAxUtxNimG6U8P",68,"English"
"R_UQJqj9sPbudXx9T",68,"English"
"R_27CHmENx2OnOtUv",68,"English"
"R_2dnACoohrLDqrzv",68,"English"
"R_2pQOIoi1Q72GgYE",68,"English"
"R_3gZXIxuLvc8x3tT",68,"English"
"R_31SeF0u0pSqPGv9",68,"English"
"R_aWwXehbRJURuVXj",68,"English"
"R_2zj8cBR2SvfK75w",68,"English"
"R_3ps9UcX2gPxUbV2",68,"English"
"R_2ZVSp83mLt9VDkt",68,"English"
"R_BEfD4454WKolhHr",68,"English"
"R_2AYlwO3keBiRWW4",68,"English"
"R_7WB5qmdKcIdqN0t",69,"French"
"R_1DBTwecLjDCyqn9",68,"English"
"R_20NewS6kMoO6KaY",68,"English"
"R_PBU6xO0cVqL8VnX",68,"English"
"R_3lDJ7CzHm01f1jq",68,"English"
"R_dp43OSUOknCpTnX",68,"English"
"R_3ETsEvkWbN7wiMl",68,"English"
"R_2sjgYDTxIeeIi7D",68,"English"
"R_2B4gPDT9cpf2GJe",68,"English"
"R_yvSc9MoNDhphtYZ",68,"English"
"R_1eXmX6vR2el5Hai",68,"English"
"R_6RPAvNtx48HTmY9",68,"English"
"R_3nvjacWS8TQY8gP",68,"English"
"R_3p4uqmGQurFFBAE",68,"English"
"R_emQjGcjkI3Vsvn3",68,"English"
"R_2TnMZ06hKmbTdvf",68,"English"
"R_1ZCPvRAiK9belPj",68,"English"
"R_33wpupd53eDyQgz",68,"English"
"R_6XdpAU1oZUlNFnz",68,"English"
"R_2Cjt5ZeTBXIVLJj",68,"English"
"R_2UXzqUZTVPIXXn5",68,"English"
"R_eyb9obwN1lstOM1",68,"English"
"R_3kzi7Ui1tW0wD4q",68,"English"
"R_vC7NkRvDpFpvyHT",68,"English"
