"","cps19_ResponseId","ethnicity","own_residence","cps19_income_cat","cps19_education","cps19_bornin_canada","education","language","votechoice","age_bracket","province"
"1","R_USWDAPcQEQiMmNb","Italian",1,9,8,1,"Bachelors","English",1,"18-24","Ontario"
"2","R_1Iu8R1UlYzVMycz","Canadian",0,1,5,2,"High school","Neither",3,"18-24","Ontario"
"3","R_2EcS26hqrcVYlab","German",1,5,8,1,"Bachelors","English",1,"18-24","Ontario"
"4","R_10OBmXJyvn8feYQ","Canadian",1,9,5,1,"High school","English",1,"18-24","Ontario"
"5","R_2e5nvu0UchQctgq","Indian",1,9,5,1,"High school","Neither",3,"18-24","Ontario"
"6","R_3j7fAVYfVCewi3H","Indian",1,2,8,1,"Bachelors","English",1,"18-24","Ontario"
"7","R_12r93bwCcrge7qz","Canadian",0,2,8,1,"Bachelors","English",3,"18-24","Ontario"
"8","R_brdMqsPTvQ5t1tL","English",0,2,5,1,"High school","English",3,"18-24","Ontario"
"9","R_ekyQEoYoeM4wSnT","Indian",1,3,8,2,"Bachelors","Neither",1,"18-24","Ontario"
"10","R_3CTxtRUVlnuZwR9","English",0,2,4,2,"No degree/ diploma","Neither",1,"18-24","Ontario"
"11","R_2167E4uBFwL3tIw","Canadian",1,3,5,1,"High school","English",1,"18-24","Ontario"
"12","R_3fotX1MQKDhb4UK","Canadian",1,3,8,2,"Bachelors","English",1,"18-24","Ontario"
"13","R_3E9I0FT0lJwWnhe","Canadian",1,5,4,1,"No degree/ diploma","Neither",1,"18-24","Ontario"
"14","R_1FynCZH7i2j3zEY","Canadian",0,2,5,1,"High school","English_and_French",2,"18-24","Ontario"
"15","R_OC1iy7s0tGo4O53","Canadian",0,3,8,1,"Bachelors","English_and_French",1,"18-24","Ontario"
"16","R_1mKp6J3wuiXNVoz","Canadian",0,2,8,1,"Bachelors","English",5,"18-24","Ontario"
"17","R_1FtuwG5usWZ9Ag3","Canadian",0,9,5,2,"High school","Neither",1,"18-24","Ontario"
"18","R_ZaAo5kQO1Kv4mfn","Canadian",1,9,5,1,"High school","English",2,"18-24","Ontario"
"19","R_2frntmrI5rljDK8","Canadian",0,4,8,1,"Bachelors","English_and_French",3,"18-24","Ontario"
"20","R_3O9M6HHQ8gEBBXH","Canadian",1,3,8,1,"Bachelors","English",1,"18-24","Ontario"
"21","R_1dN3Vkq3TrktixZ","Canadian",0,9,8,1,"Bachelors","English",1,"18-24","Ontario"
"22","R_abDZTPmtAjXIRJT","Canadian",0,2,5,1,"High school","English",1,"18-24","Ontario"
"23","R_1JDXcWCXdtFEcLZ","Canadian",1,2,8,2,"Bachelors","English_and_French",1,"18-24","Ontario"
"24","R_RRebsMZg5l2B9zH","Canadian",0,4,5,2,"High school","English",3,"18-24","Ontario"
"25","R_cC0HLiW6uR02Yrn","Canadian",0,2,8,1,"Bachelors","English_and_French",1,"18-24","Ontario"
"26","R_3HLArVVjgzRr4vK","Canadian",1,9,8,1,"Bachelors","English",3,"18-24","Ontario"
"27","R_3pi2uMWmCV3w2B4","Indian",1,5,5,1,"High school","English_and_French",3,"18-24","Ontario"
"28","R_1OBoexcKOfBus6F","Canadian",1,4,8,1,"Bachelors","English",1,"18-24","Ontario"
"29","R_32OU4J2rrH7QYNk","Indian",0,4,8,1,"Bachelors","English",3,"18-24","Ontario"
"30","R_2uWhDH3dg1PGe4O","Canadian",1,6,8,1,"Bachelors","English_and_French",1,"18-24","Ontario"
"31","R_3ExQozQ6M1cj9Mw","Chinese",1,4,8,1,"Bachelors","English",3,"18-24","Ontario"
"32","R_1BWaBTtP6DWgPUv","English",1,5,9,1,"Bachelors","English",3,"18-24","Ontario"
"33","R_1Lu1zrK8ZszBXRw","Canadian",1,3,5,1,"High school","English",1,"18-24","Ontario"
"34","R_VOPyXJGn0rjp2bD","Canadian",0,9,8,2,"Bachelors","Neither",1,"18-24","Ontario"
"35","R_1GC7IytxEE5kAHd","Canadian",0,4,4,1,"No degree/ diploma","Neither",3,"18-24","Ontario"
"36","R_2qdQOlSAV4cA34t","Canadian",1,2,5,1,"High school","English",3,"18-24","Ontario"
"37","R_UbzsGsOza9ZJTOx","Chinese",1,3,9,2,"Bachelors","English",3,"18-24","Ontario"
"38","R_Cjq5KoO97U4PYzf","Canadian",0,2,9,2,"Bachelors","English",1,"18-24","Ontario"
"39","R_WkEBiJlpFtNFP6V","Canadian",0,2,7,1,"College/Trades","French",1,"55-64","Quebec"
"40","R_2WuL4gwgSQ1C7ns","Canadian",1,3,9,1,"Bachelors","English",3,"65-74","Ontario"
"41","R_1JCk3PWI3fsONbA","Canadian",0,4,10,1,"Postgrad","English",1,"25-34","Ontario"
"42","R_xsAVU6LftA3gfWF","Canadian",1,4,9,1,"Bachelors","English",2,"55-64","British Columbia"
"43","R_bg7b29vnUs7gLvP","Irish",1,8,11,1,"Postgrad","French",3,"55-64","Ontario"
"44","R_2Xik6QTgJCpeuDg","Chinese",1,3,9,2,"Bachelors","English_and_French",1,"25-34","Ontario"
"45","R_DiYgFOuVje0hEnT","Irish",1,2,6,1,"College/Trades","English",5,"55-64","Ontario"
"46","R_2CZLIEXUOJeIgDs","German",1,4,5,1,"High school","English",2,"55-64","Saskatchewan"
"47","R_2cd47pXrsZRsh1H","Canadian",0,2,8,1,"Bachelors","French",2,"35-44","Quebec"
"48","R_3CIOVyxdGAEkWLh","Canadian",1,4,9,2,"Bachelors","English",1,"65-74","British Columbia"
"49","R_2Wu0jeDP2crJZpq","Canadian",1,4,9,1,"Bachelors","English",2,"55-64","Ontario"
"50","R_3HojhMlSO6s0221","Canadian",1,3,9,1,"Bachelors","English",3,"35-44","Alberta"
"51","R_1dAdPpMSNlbDJTF","Chinese",1,5,9,2,"Bachelors","English",1,"25-34","Ontario"
"52","R_1nTIzCIUyStGwZJ","Canadian",0,9,7,1,"College/Trades","English",1,"25-34","Ontario"
"53","R_2z8xJEIRjGaLtqB","Canadian",1,4,10,1,"Postgrad","French",4,"65-74","Quebec"
"54","R_3OdyWbYS9KtEaMJ","English",0,2,5,1,"High school","English",2,"35-44","Ontario"
"55","R_1LiGTJDKOjzc0Vm","Canadian",1,4,9,1,"Bachelors","English",2,"45-54","Ontario"
"56","R_29iiuc9rXjUIbVA","Canadian",0,3,9,1,"Bachelors","English",3,"65-74","Ontario"
"57","R_24rayRZvHjXVLvw","Canadian",1,7,7,1,"College/Trades","English",2,"55-64","Alberta"
"58","R_T7QVs5y0MqZziHT","Chinese",1,4,9,2,"Bachelors","Neither",1,"25-34","Ontario"
