"cps19_ResponseId","votechoice"
"R_1OpYXEFGzHRUpjM",5
"R_2qdrL3J618rxYW0",9
"R_USWDAPcQEQiMmNb",1
"R_3IQaeDXy0tBzEry",2
"R_27WeMQ1asip2cMD",9
"R_3LiGZcCWJEcWV4P",1
"R_1Iu8R1UlYzVMycz",3
"R_2EcS26hqrcVYlab",1
"R_3yrt44wqQ1d4VRn",9
"R_10OBmXJyvn8feYQ",1
"R_2e5nvu0UchQctgq",3
"R_2OJdv16hkRGnjOn",2
"R_3F5wpLvNlRtNQuK",1
"R_3j7fAVYfVCewi3H",1
"R_3nNxsyTE4FFk1qD",1
"R_2yscDHNVwXYrmZO",1
"R_1XR26kb471tt8rL",1
"R_ABEKO3wGyEEpVy9",5
"R_1plJZdZH9ohyW6i",5
"R_12r93bwCcrge7qz",3
"R_brdMqsPTvQ5t1tL",3
"R_Wumhl7QEMURFqZH",2
"R_3pb4vBiIdfyAWiM",1
"R_ekyQEoYoeM4wSnT",1
"R_1IFNIX3MUwugUnq",9
"R_2D1btcWaARAVdfl",1
"R_3EH051N9vLmOOHM",1
"R_3CTxtRUVlnuZwR9",1
"R_2167E4uBFwL3tIw",1
"R_2ARPwQNr05juvGk",9
"R_3fotX1MQKDhb4UK",1
"R_3E9I0FT0lJwWnhe",1
"R_1FynCZH7i2j3zEY",2
"R_OC1iy7s0tGo4O53",1
"R_1mKp6J3wuiXNVoz",5
"R_6D3sTWGzDUwNb69",1
"R_2XgN2Ob9v6Q7leV",1
"R_1FtuwG5usWZ9Ag3",1
"R_3oMWMu5zw0JQxNB",1
"R_ZaAo5kQO1Kv4mfn",2
"R_yXg76X30iGa9qut",3
"R_2frntmrI5rljDK8",3
"R_3O9M6HHQ8gEBBXH",1
"R_ZvMSBYhSo5ayHrX",2
"R_1dN3Vkq3TrktixZ",1
"R_abDZTPmtAjXIRJT",1
"R_1JDXcWCXdtFEcLZ",1
"R_1JEELxaOxZfk4k4",3
"R_D2DguhVe87Zm2S5",9
"R_2qF75AGrOr09bcd",9
"R_RRebsMZg5l2B9zH",3
"R_cC0HLiW6uR02Yrn",1
"R_2X54JdXL9ClEXcO",3
"R_1LvC0qobiceq1s4",5
"R_3HLArVVjgzRr4vK",3
"R_25XD1qogGsgMOxq",1
