"","Riding","Status","n","freq"
"1","Avalon","Owner",29340,0.842619184376795
"2","Avalon","Renter",5480,0.157380815623205
"3","Bonavista--Burin--Trinity","Owner",27600,0.870113493064313
"4","Bonavista--Burin--Trinity","Renter",4120,0.129886506935687
"5","Coast of Bays--Central--Notre Dame","Owner",26525,0.792737597130903
"6","Coast of Bays--Central--Notre Dame","Renter",6935,0.207262402869097
"7","Labrador","Owner",7110,0.739854318418314
"8","Labrador","Renter",2500,0.260145681581686
"9","Long Range Mountains","Owner",29350,0.77707175006619
"10","Long Range Mountains","Renter",8420,0.22292824993381
"11","St. John's East","Owner",24495,0.691460832745236
"12","St. John's East","Renter",10930,0.308539167254764
"13","St. John's South--Mount Pearl","Owner",23270,0.656973461321287
"14","St. John's South--Mount Pearl","Renter",12150,0.343026538678713
"15","Cardigan","Owner",11910,0.811031664964249
"16","Cardigan","Renter",2775,0.188968335035751
"17","Charlottetown","Owner",7755,0.48167701863354
"18","Charlottetown","Renter",8345,0.51832298136646
"19","Egmont","Owner",10000,0.700770847932726
"20","Egmont","Renter",4270,0.299229152067274
"21","Malpeque","Owner",12110,0.846853146853147
"22","Malpeque","Renter",2190,0.153146853146853
"23","Cape Breton--Canso","Owner",24960,0.810916179337232
"24","Cape Breton--Canso","Renter",5820,0.189083820662768
"25","Central Nova","Owner",24305,0.773674996021009
"26","Central Nova","Renter",7110,0.226325003978991
"27","Cumberland--Colchester","Owner",25815,0.725446114936069
"28","Cumberland--Colchester","Renter",9770,0.274553885063931
"29","Dartmouth--Cole Harbour","Owner",23270,0.568601099572388
"30","Dartmouth--Cole Harbour","Renter",17655,0.431398900427611
"31","Halifax","Owner",18815,0.417045328604677
"32","Halifax","Renter",26300,0.582954671395323
"33","Halifax West","Owner",21245,0.525151402793227
"34","Halifax West","Renter",19210,0.474848597206773
"35","Kings--Hants","Owner",26140,0.74931919162964
"36","Kings--Hants","Renter",8745,0.25068080837036
"37","Sackville--Preston--Chezzetcook","Owner",28580,0.860713747929529
"38","Sackville--Preston--Chezzetcook","Renter",4625,0.139286252070471
"39","South Shore--St. Margarets","Owner",33550,0.828906732550957
"40","South Shore--St. Margarets","Renter",6925,0.171093267449043
"41","Sydney--Victoria","Owner",21615,0.706026457618814
"42","Sydney--Victoria","Renter",9000,0.293973542381186
"43","West Nova","Owner",27815,0.767204523513998
"44","West Nova","Renter",8440,0.232795476486002
"45","Acadie--Bathurst","Owner",27345,0.793413608008124
"46","Acadie--Bathurst","Renter",7120,0.206586391991876
"47","Beauséjour","Owner",28425,0.832723011571701
"48","Beauséjour","Renter",5710,0.167276988428299
"49","Fredericton","Owner",22295,0.634642755479647
"50","Fredericton","Renter",12835,0.365357244520353
"51","Fundy Royal","Owner",27860,0.88276299112801
"52","Fundy Royal","Renter",3700,0.11723700887199
"53","Madawaska--Restigouche","Owner",20640,0.765294771968854
"54","Madawaska--Restigouche","Renter",6330,0.234705228031146
"55","Miramichi--Grand Lake","Owner",19685,0.817483388704319
"56","Miramichi--Grand Lake","Renter",4395,0.182516611295681
"57","Moncton--Riverview--Dieppe","Owner",24485,0.591925540916234
"58","Moncton--Riverview--Dieppe","Renter",16880,0.408074459083766
"59","New Brunswick Southwest","Owner",23695,0.87840593141798
"60","New Brunswick Southwest","Renter",3280,0.12159406858202
"61","Saint John--Rothesay","Owner",20610,0.590798337394296
"62","Saint John--Rothesay","Renter",14275,0.409201662605704
"63","Tobique--Mactaquac","Owner",23000,0.811430587405186
"64","Tobique--Mactaquac","Renter",5345,0.188569412594814
"65","Abitibi--Baie-James--Nunavik--Eeyou","Owner",17305,0.579440817009878
"66","Abitibi--Baie-James--Nunavik--Eeyou","Renter",12560,0.420559182990122
"67","Abitibi--Témiscamingue","Owner",31730,0.700055157198014
"68","Abitibi--Témiscamingue","Renter",13595,0.299944842801986
"69","Ahuntsic-Cartierville","Owner",20460,0.401767304860088
"70","Ahuntsic-Cartierville","Renter",30465,0.598232695139912
"71","Alfred-Pellan","Owner",28285,0.744440057902356
"72","Alfred-Pellan","Renter",9710,0.255559942097644
"73","Argenteuil--La Petite-Nation","Owner",31575,0.742766407904023
"74","Argenteuil--La Petite-Nation","Renter",10935,0.257233592095977
"75","Avignon--La Mitis--Matane--Matapédia","Owner",24275,0.736610529509938
"76","Avignon--La Mitis--Matane--Matapédia","Renter",8680,0.263389470490062
"77","Beauce","Owner",33895,0.734055224688684
"78","Beauce","Renter",12280,0.265944775311316
"79","Beauport--Limoilou","Owner",19000,0.392318810654553
"80","Beauport--Limoilou","Renter",29430,0.607681189345447
"81","Bécancour--Nicolet--Saurel","Owner",30345,0.707507577523898
"82","Bécancour--Nicolet--Saurel","Renter",12545,0.292492422476102
"83","Bellechasse--Les Etchemins--Lévis","Owner",34580,0.676579925650558
"84","Bellechasse--Les Etchemins--Lévis","Renter",16530,0.323420074349442
"85","Beloeil--Chambly","Owner",36270,0.778827571397896
"86","Beloeil--Chambly","Renter",10300,0.221172428602104
"87","Berthier--Maskinongé","Owner",33550,0.763715001138174
"88","Berthier--Maskinongé","Renter",10380,0.236284998861826
"89","Thérèse-De Blainville","Owner",28805,0.717971086739781
