"","Riding","Sex","Official Language Spoken","n","freq"
"1","Avalon","Male","English",41975,0.997149305143129
"2","Avalon","Male","French",95,0.00225680009502316
"3","Avalon","Male","English_and_French",15,0.00035633685710892
"4","Avalon","Male","Neither",10,0.00023755790473928
"5","Bonavista--Burin--Trinity","Male","English",36335,0.997666117517847
"6","Bonavista--Burin--Trinity","Male","French",80,0.00219659527732015
"7","Bonavista--Burin--Trinity","Male","English_and_French",0,0
"8","Bonavista--Burin--Trinity","Male","Neither",5,0.00013728720483251
"9","Coast of Bays--Central--Notre Dame","Male","English",37710,0.997091485986251
"10","Coast of Bays--Central--Notre Dame","Male","French",75,0.00198307773664728
"11","Coast of Bays--Central--Notre Dame","Male","English_and_French",10,0.000264410364886304
"12","Coast of Bays--Central--Notre Dame","Male","Neither",25,0.000661025912215759
"13","Labrador","Male","English",13370,0.975200583515682
"14","Labrador","Male","French",245,0.0178701677607586
"15","Labrador","Male","English_and_French",35,0.0025528811086798
"16","Labrador","Male","Neither",60,0.00437636761487965
"17","Long Range Mountains","Male","English",41485,0.993295821860409
"18","Long Range Mountains","Male","French",250,0.00598587333892015
"19","Long Range Mountains","Male","English_and_French",15,0.000359152400335209
"20","Long Range Mountains","Male","Neither",15,0.000359152400335209
"21","St. John's East","Male","English",40905,0.989118607181719
"22","St. John's East","Male","French",270,0.00652883569096844
"23","St. John's East","Male","English_and_French",75,0.00181356546971346
"24","St. John's East","Male","Neither",105,0.00253899165759884
"25","St. John's South--Mount Pearl","Male","English",38840,0.991828396322778
"26","St. John's South--Mount Pearl","Male","French",190,0.00485188968335036
"27","St. John's South--Mount Pearl","Male","English_and_French",30,0.00076608784473953
"28","St. John's South--Mount Pearl","Male","Neither",100,0.00255362614913177
"29","Cardigan","Male","English",17465,0.970817120622568
"30","Cardigan","Male","French",220,0.0122290161200667
"31","Cardigan","Male","English_and_French",15,0.000833796553640912
"32","Cardigan","Male","Neither",290,0.0161200667037243
"33","Charlottetown","Male","English",15835,0.95969696969697
"34","Charlottetown","Male","French",320,0.0193939393939394
"35","Charlottetown","Male","English_and_French",50,0.00303030303030303
"36","Charlottetown","Male","Neither",295,0.0178787878787879
"37","Egmont","Male","English",15055,0.920232273838631
"38","Egmont","Male","French",1260,0.0770171149144254
"39","Egmont","Male","English_and_French",15,0.000916870415647922
"40","Egmont","Male","Neither",30,0.00183374083129584
"41","Malpeque","Male","English",17335,0.980209216850438
"42","Malpeque","Male","French",305,0.0172462538874753
"43","Malpeque","Male","English_and_French",20,0.00113090189426067
"44","Malpeque","Male","Neither",25,0.00141362736782584
"45","Cape Breton--Canso","Male","English",32495,0.937671331698168
"46","Cape Breton--Canso","Male","French",2090,0.0603087577550137
"47","Cape Breton--Canso","Male","English_and_French",45,0.00129851392295484
"48","Cape Breton--Canso","Male","Neither",25,0.0007213966238638
"49","Central Nova","Male","English",34090,0.988975921090804
"50","Central Nova","Male","French",325,0.00942848854076008
"51","Central Nova","Male","English_and_French",20,0.00058021467943139
"52","Central Nova","Male","Neither",35,0.00101537568900493
"53","Cumberland--Colchester","Male","English",37915,0.988914971309337
"54","Cumberland--Colchester","Male","French",365,0.00952008346374543
"55","Cumberland--Colchester","Male","English_and_French",15,0.000391236306729264
"56","Cumberland--Colchester","Male","Neither",45,0.00117370892018779
"57","Dartmouth--Cole Harbour","Male","English",42060,0.9636842708214
"58","Dartmouth--Cole Harbour","Male","French",1380,0.0316187421239546
"59","Dartmouth--Cole Harbour","Male","English_and_French",105,0.00240577385725742
"60","Dartmouth--Cole Harbour","Male","Neither",100,0.00229121319738802
"61","Halifax","Male","English",43505,0.966455625902477
"62","Halifax","Male","French",965,0.0214372986782184
"63","Halifax","Male","English_and_French",180,0.00399866711096301
"64","Halifax","Male","Neither",365,0.00810840830834166
"65","Halifax West","Male","English",44165,0.961362646930779
"66","Halifax West","Male","French",1095,0.0238354375272094
"67","Halifax West","Male","English_and_French",205,0.00446234218545929
"68","Halifax West","Male","Neither",475,0.010339573356552
"69","Kings--Hants","Male","English",39675,0.986694852026859
"70","Kings--Hants","Male","French",450,0.0111912459587167
"71","Kings--Hants","Male","English_and_French",25,0.000621735886595374
"72","Kings--Hants","Male","Neither",60,0.0014921661278289
"73","Sackville--Preston--Chezzetcook","Male","English",41120,0.969925698785234
"74","Sackville--Preston--Chezzetcook","Male","French",1195,0.0281872862365845
"75","Sackville--Preston--Chezzetcook","Male","English_and_French",55,0.00129732279749971
"76","Sackville--Preston--Chezzetcook","Male","Neither",25,0.000589692180681684
"77","South Shore--St. Margarets","Male","English",44125,0.986033519553073
"78","South Shore--St. Margarets","Male","French",535,0.0119553072625698
"79","South Shore--St. Margarets","Male","English_and_French",50,0.00111731843575419
"80","South Shore--St. Margarets","Male","Neither",40,0.000893854748603352
"81","Sydney--Victoria","Male","English",33420,0.991103202846975
"82","Sydney--Victoria","Male","French",240,0.00711743772241993
"83","Sydney--Victoria","Male","English_and_French",35,0.00103795966785291
"84","Sydney--Victoria","Male","Neither",25,0.000741399762752076
"85","West Nova","Male","English",33970,0.863497712252161
"86","West Nova","Male","French",5255,0.13357905439756
"87","West Nova","Male","English_and_French",85,0.00216065073716319
"88","West Nova","Male","Neither",30,0.000762582613116421
"89","Acadie--Bathurst","Male","English",6240,0.164795985738809
"90","Acadie--Bathurst","Male","French",31470,0.83111052423082
"91","Acadie--Bathurst","Male","English_and_French",125,0.00330120163739601
"92","Acadie--Bathurst","Male","Neither",30,0.000792288392975043
"93","Beauséjour","Male","English",14530,0.363023110555903
"94","Beauséjour","Male","French",25140,0.628107432854466
"95","Beauséjour","Male","English_and_French",250,0.00624609618988132
"96","Beauséjour","Male","Neither",105,0.00262336039975016
"97","Fredericton","Male","English",36850,0.909427443237907
"98","Fredericton","Male","French",3175,0.0783563672260612
"99","Fredericton","Male","English_and_French",200,0.00493583415597236
"100","Fredericton","Male","Neither",295,0.00728035538005923
"101","Fundy Royal","Male","English",37420,0.957523029682702
"102","Fundy Royal","Male","French",1560,0.0399181166837257
"103","Fundy Royal","Male","English_and_French",70,0.00179119754350051
"104","Fundy Royal","Male","Neither",30,0.000767656090071648
"105","Madawaska--Restigouche","Male","English",5225,0.180983720124697
"106","Madawaska--Restigouche","Male","French",23460,0.812608243851749
"107","Madawaska--Restigouche","Male","English_and_French",165,0.00571527537235885
"108","Madawaska--Restigouche","Male","Neither",20,0.000692760651195012
"109","Miramichi--Grand Lake","Male","English",21050,0.756785906884774
"110","Miramichi--Grand Lake","Male","French",6660,0.239439151536941
"111","Miramichi--Grand Lake","Male","English_and_French",85,0.00305590508718317
"112","Miramichi--Grand Lake","Male","Neither",20,0.000719036491101923
"113","Moncton--Riverview--Dieppe","Male","English",28925,0.661899313501144
"114","Moncton--Riverview--Dieppe","Male","French",14075,0.3220823798627
"115","Moncton--Riverview--Dieppe","Male","English_and_French",435,0.00995423340961098
"116","Moncton--Riverview--Dieppe","Male","Neither",265,0.00606407322654462
"117","New Brunswick Southwest","Male","English",30765,0.961706783369803
"118","New Brunswick Southwest","Male","French",1175,0.0367302281963113
"119","New Brunswick Southwest","Male","English_and_French",30,0.000937793060331354
"120","New Brunswick Southwest","Male","Neither",20,0.000625195373554236
"121","Saint John--Rothesay","Male","English",35300,0.948797204676791
"122","Saint John--Rothesay","Male","French",1440,0.0387044752049456
"123","Saint John--Rothesay","Male","English_and_French",125,0.00335976347265153
"124","Saint John--Rothesay","Male","Neither",340,0.00913855664561215
"125","Tobique--Mactaquac","Male","English",27935,0.836502470429705
"126","Tobique--Mactaquac","Male","French",5345,0.160053900284474
"127","Tobique--Mactaquac","Male","English_and_French",75,0.00224584518640515
"128","Tobique--Mactaquac","Male","Neither",40,0.00119778409941608
"129","Abitibi--Baie-James--Nunavik--Eeyou","Male","English",11170,0.251633250732147
"130","Abitibi--Baie-James--Nunavik--Eeyou","Male","French",28930,0.651723361117369
"131","Abitibi--Baie-James--Nunavik--Eeyou","Male","English_and_French",2775,0.0625140797476909
"132","Abitibi--Baie-James--Nunavik--Eeyou","Male","Neither",1515,0.0341293084027934
"133","Abitibi--Témiscamingue","Male","English",1750,0.0338687826591833
"134","Abitibi--Témiscamingue","Male","French",49750,0.962841107025353
"135","Abitibi--Témiscamingue","Male","English_and_French",155,0.00299980646409909
"136","Abitibi--Témiscamingue","Male","Neither",15,0.000290303851364428
"137","Ahuntsic-Cartierville","Male","English",8785,0.158788974243109
"138","Ahuntsic-Cartierville","Male","French",38645,0.698508811568007
"139","Ahuntsic-Cartierville","Male","English_and_French",6470,0.116945323090827
"140","Ahuntsic-Cartierville","Male","Neither",1425,0.0257568910980569
"141","Alfred-Pellan","Male","English",8300,0.171381375180673
"142","Alfred-Pellan","Male","French",36815,0.760169316539335
"143","Alfred-Pellan","Male","English_and_French",2955,0.0610158992360107
"144","Alfred-Pellan","Male","Neither",360,0.007433409043981
"145","Argenteuil--La Petite-Nation","Male","English",5170,0.108522250209908
"146","Argenteuil--La Petite-Nation","Male","French",42120,0.884130982367758
"147","Argenteuil--La Petite-Nation","Male","English_and_French",325,0.00682199832073887
"148","Argenteuil--La Petite-Nation","Male","Neither",25,0.000524769101595298
"149","Avignon--La Mitis--Matane--Matapédia","Male","English",1360,0.0384887505306354
"150","Avignon--La Mitis--Matane--Matapédia","Male","French",33910,0.959671713598415
"151","Avignon--La Mitis--Matane--Matapédia","Male","English_and_French",60,0.00169803311164568
"152","Avignon--La Mitis--Matane--Matapédia","Male","Neither",5,0.000141502759303806
"153","Beauce","Male","English",365,0.00670524478736107
"154","Beauce","Male","French",53905,0.990263617158078
"155","Beauce","Male","English_and_French",110,0.00202075870304032
"156","Beauce","Male","Neither",55,0.00101037935152016
"157","Beauport--Limoilou","Male","English",620,0.0136971169777974
"158","Beauport--Limoilou","Male","French",43930,0.97050701424942
"159","Beauport--Limoilou","Male","English_and_French",485,0.0107146802165028
"160","Beauport--Limoilou","Male","Neither",230,0.00508118855627969
"161","Bécancour--Nicolet--Saurel","Male","English",435,0.00933376247183779
"162","Bécancour--Nicolet--Saurel","Male","French",46025,0.987554983370883
