,Riding,Province,Geo Code
0,Avalon,Newfoundland and Labrador,10001
1,Bonavista--Burin--Trinity,Newfoundland and Labrador,10002
2,Coast of Bays--Central--Notre Dame,Newfoundland and Labrador,10003
3,Labrador,Newfoundland and Labrador,10004
4,Long Range Mountains,Newfoundland and Labrador,10005
5,St. John's East,Newfoundland and Labrador,10006
6,St. John's South--Mount Pearl,Newfoundland and Labrador,10007
7,Cardigan,Prince Edward Island,11001
8,Charlottetown,Prince Edward Island,11002
9,Egmont,Prince Edward Island,11003
10,Malpeque,Prince Edward Island,11004
11,Cape Breton--Canso,Nova Scotia,12001
12,Central Nova,Nova Scotia,12002
13,Cumberland--Colchester,Nova Scotia,12003
14,Dartmouth--Cole Harbour,Nova Scotia,12004
15,Halifax,Nova Scotia,12005
16,Halifax West,Nova Scotia,12006
17,Kings--Hants,Nova Scotia,12007
18,Sackville--Preston--Chezzetcook,Nova Scotia,12008
19,South Shore--St. Margarets,Nova Scotia,12009
20,Sydney--Victoria,Nova Scotia,12010
21,West Nova,Nova Scotia,12011
22,Acadie--Bathurst,New Brunswick,13001
23,Beauséjour,New Brunswick,13002
24,Fredericton,New Brunswick,13003
25,Fundy Royal,New Brunswick,13004
26,Madawaska--Restigouche,New Brunswick,13005
27,Miramichi--Grand Lake,New Brunswick,13006
28,Moncton--Riverview--Dieppe,New Brunswick,13007
29,New Brunswick Southwest,New Brunswick,13008
30,Saint John--Rothesay,New Brunswick,13009
31,Tobique--Mactaquac,New Brunswick,13010
32,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,24001
33,Abitibi--Témiscamingue,Quebec,24002
34,Ahuntsic-Cartierville,Quebec,24003
35,Alfred-Pellan,Quebec,24004
36,Argenteuil--La Petite-Nation,Quebec,24005
37,Avignon--La Mitis--Matane--Matapédia,Quebec,24006
38,Beauce,Quebec,24007
39,Beauport--Limoilou,Quebec,24008
40,Bécancour--Nicolet--Saurel,Quebec,24009
41,Bellechasse--Les Etchemins--Lévis,Quebec,24010
42,Beloeil--Chambly,Quebec,24011
43,Berthier--Maskinongé,Quebec,24012
44,Thérèse-De Blainville,Quebec,24013
45,Pierre-Boucher--Les Patriotes--Verchères,Quebec,24014
46,Bourassa,Quebec,24015
47,Brome--Missisquoi,Quebec,24016
48,Brossard--Saint-Lambert,Quebec,24017
49,Rimouski-Neigette--Témiscouata--Les Basques,Quebec,24018
50,Charlesbourg--Haute-Saint-Charles,Quebec,24019
51,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,Quebec,24020
52,Châteauguay--Lacolle,Quebec,24021
53,Chicoutimi--Le Fjord,Quebec,24022
54,Compton--Stanstead,Quebec,24023
55,Dorval--Lachine--LaSalle,Quebec,24024
56,Drummond,Quebec,24025
57,Gaspésie--Les Îles-de-la-Madeleine,Quebec,24026
58,Gatineau,Quebec,24027
59,Hochelaga,Quebec,24028
60,Honoré-Mercier,Quebec,24029
