,cps19_ResponseId,cps19_province,cps19_age
0,R_1OpYXEFGzHRUpjM,24,30
1,R_2qdrL3J618rxYW0,24,21
2,R_USWDAPcQEQiMmNb,22,19
3,R_3IQaeDXy0tBzEry,22,21
4,R_27WeMQ1asip2cMD,22,19
5,R_3LiGZcCWJEcWV4P,22,20
6,R_1Iu8R1UlYzVMycz,22,21
7,R_2EcS26hqrcVYlab,22,21
8,R_3yrt44wqQ1d4VRn,22,21
9,R_10OBmXJyvn8feYQ,22,19
10,R_2e5nvu0UchQctgq,22,19
11,R_2OJdv16hkRGnjOn,22,21
12,R_3F5wpLvNlRtNQuK,22,20
13,R_3j7fAVYfVCewi3H,22,19
14,R_3nNxsyTE4FFk1qD,22,21
15,R_2yscDHNVwXYrmZO,22,19
16,R_1XR26kb471tt8rL,22,19
17,R_ABEKO3wGyEEpVy9,22,19
18,R_1plJZdZH9ohyW6i,22,19
19,R_12r93bwCcrge7qz,22,21
20,R_brdMqsPTvQ5t1tL,22,19
21,R_Wumhl7QEMURFqZH,22,19
22,R_3pb4vBiIdfyAWiM,22,24
23,R_ekyQEoYoeM4wSnT,22,20
24,R_1IFNIX3MUwugUnq,22,19
25,R_2D1btcWaARAVdfl,22,19
26,R_3EH051N9vLmOOHM,22,19
27,R_3CTxtRUVlnuZwR9,22,22
28,R_2167E4uBFwL3tIw,22,20
29,R_2ARPwQNr05juvGk,22,19
30,R_3fotX1MQKDhb4UK,22,19
31,R_3E9I0FT0lJwWnhe,22,19
32,R_1FynCZH7i2j3zEY,22,20
33,R_OC1iy7s0tGo4O53,22,24
34,R_1mKp6J3wuiXNVoz,22,21
35,R_6D3sTWGzDUwNb69,22,19
36,R_2XgN2Ob9v6Q7leV,22,19
37,R_1FtuwG5usWZ9Ag3,22,19
38,R_3oMWMu5zw0JQxNB,22,22
39,R_ZaAo5kQO1Kv4mfn,22,19
40,R_yXg76X30iGa9qut,22,19
41,R_2frntmrI5rljDK8,22,19
42,R_3O9M6HHQ8gEBBXH,22,19
43,R_ZvMSBYhSo5ayHrX,22,21
44,R_1dN3Vkq3TrktixZ,22,21
45,R_abDZTPmtAjXIRJT,22,19
46,R_1JDXcWCXdtFEcLZ,22,21
47,R_1JEELxaOxZfk4k4,22,20
48,R_D2DguhVe87Zm2S5,22,23
49,R_2qF75AGrOr09bcd,22,19
50,R_RRebsMZg5l2B9zH,22,19
51,R_cC0HLiW6uR02Yrn,22,20
52,R_2X54JdXL9ClEXcO,22,19
53,R_1LvC0qobiceq1s4,22,19
54,R_3HLArVVjgzRr4vK,22,23
55,R_25XD1qogGsgMOxq,22,21
56,R_3pi2uMWmCV3w2B4,22,20
57,R_3Rg4JsBLJdTh40D,22,22
58,R_qFlWQL8QdqaEJGx,22,20
59,R_1OBoexcKOfBus6F,22,19
60,R_pgAMDxgj8Ooma0F,22,19
61,R_32OU4J2rrH7QYNk,22,20
62,R_2uWhDH3dg1PGe4O,22,21
63,R_3ExQozQ6M1cj9Mw,22,22
64,R_1BWaBTtP6DWgPUv,22,23
65,R_1Lu1zrK8ZszBXRw,22,19
66,R_VOPyXJGn0rjp2bD,22,19
67,R_2ris1hIXvaSs1kB,22,19
68,R_1GC7IytxEE5kAHd,22,22
69,R_2qdQOlSAV4cA34t,22,19
70,R_3kzwMIZFfSgQckt,22,20
71,R_3PaYTlbmDOpZIvv,22,21
72,R_21tgSP4vdCAIOGV,22,20
73,R_UbzsGsOza9ZJTOx,22,20
74,R_2vjE3z4KuXNh2a2,22,22
75,R_Cjq5KoO97U4PYzf,22,22
76,R_1pM3J6xDT5H4qZH,22,19
77,R_3DuVTyyFTYqI55e,22,23
78,R_3Ra9kJm1JI6K4Kt,22,22
79,R_1l4zKTXAk734o1D,22,50
80,R_WkEBiJlpFtNFP6V,24,63
81,R_2WuL4gwgSQ1C7ns,22,72
82,R_1JCk3PWI3fsONbA,22,28
83,R_xsAVU6LftA3gfWF,15,59
84,R_1rIWCvU8MuRHQSQ,22,60
85,R_bg7b29vnUs7gLvP,22,63
86,R_2Xik6QTgJCpeuDg,22,29
87,R_DiYgFOuVje0hEnT,22,57
88,R_30e4xFgOVpu1FWz,14,65
89,R_2CZLIEXUOJeIgDs,25,63
90,R_2cd47pXrsZRsh1H,24,44
91,R_3CIOVyxdGAEkWLh,15,65
92,R_Rmd177LLJnDnR3X,24,41
93,R_2Wu0jeDP2crJZpq,22,62
94,R_3HojhMlSO6s0221,14,42
95,R_1dAdPpMSNlbDJTF,22,32
96,R_12MczTmNt26vkAC,22,59
97,R_1nTIzCIUyStGwZJ,22,34
98,R_3G88WcflupE6cZO,15,67
99,R_2vigwhxt2FG5ihm,15,66
100,R_2z8xJEIRjGaLtqB,24,67
101,R_3OdyWbYS9KtEaMJ,22,37
102,R_1LiGTJDKOjzc0Vm,22,47
103,R_29iiuc9rXjUIbVA,22,68
104,R_24rayRZvHjXVLvw,14,63
105,R_T7QVs5y0MqZziHT,22,30
106,R_1QmtmjnzE2l5QjX,24,59
107,R_27WGBQiMpyNCHmc,15,61
