"cps19_ResponseId","cps19_education","cps19_bornin_canada","education"
"R_2qdrL3J618rxYW0",10,1,"Postgrad"
"R_USWDAPcQEQiMmNb",8,1,"Bachelors"
"R_3IQaeDXy0tBzEry",8,1,"Bachelors"
"R_27WeMQ1asip2cMD",5,1,"High school"
"R_3LiGZcCWJEcWV4P",8,1,"Bachelors"
"R_1Iu8R1UlYzVMycz",5,2,"High school"
"R_2EcS26hqrcVYlab",8,1,"Bachelors"
"R_3yrt44wqQ1d4VRn",8,1,"Bachelors"
"R_10OBmXJyvn8feYQ",5,1,"High school"
"R_2e5nvu0UchQctgq",5,1,"High school"
"R_2OJdv16hkRGnjOn",8,1,"Bachelors"
"R_3F5wpLvNlRtNQuK",5,1,"High school"
"R_3j7fAVYfVCewi3H",8,1,"Bachelors"
"R_3nNxsyTE4FFk1qD",8,1,"Bachelors"
"R_2yscDHNVwXYrmZO",5,1,"High school"
"R_1XR26kb471tt8rL",5,1,"High school"
"R_ABEKO3wGyEEpVy9",5,2,"High school"
"R_1plJZdZH9ohyW6i",8,1,"Bachelors"
"R_12r93bwCcrge7qz",8,1,"Bachelors"
"R_brdMqsPTvQ5t1tL",5,1,"High school"
"R_3pb4vBiIdfyAWiM",8,1,"Bachelors"
"R_ekyQEoYoeM4wSnT",8,2,"Bachelors"
"R_1IFNIX3MUwugUnq",5,1,"High school"
"R_2D1btcWaARAVdfl",8,2,"Bachelors"
"R_3EH051N9vLmOOHM",5,2,"High school"
"R_3CTxtRUVlnuZwR9",4,2,"No degree/ diploma"
"R_2167E4uBFwL3tIw",5,1,"High school"
"R_2ARPwQNr05juvGk",5,1,"High school"
"R_3fotX1MQKDhb4UK",8,2,"Bachelors"
"R_3E9I0FT0lJwWnhe",4,1,"No degree/ diploma"
"R_1FynCZH7i2j3zEY",5,1,"High school"
"R_OC1iy7s0tGo4O53",8,1,"Bachelors"
"R_1mKp6J3wuiXNVoz",8,1,"Bachelors"
"R_6D3sTWGzDUwNb69",4,1,"No degree/ diploma"
"R_2XgN2Ob9v6Q7leV",8,1,"Bachelors"
"R_1FtuwG5usWZ9Ag3",5,2,"High school"
"R_3oMWMu5zw0JQxNB",8,1,"Bachelors"
"R_ZaAo5kQO1Kv4mfn",5,1,"High school"
"R_yXg76X30iGa9qut",8,1,"Bachelors"
"R_2frntmrI5rljDK8",8,1,"Bachelors"
"R_3O9M6HHQ8gEBBXH",8,1,"Bachelors"
"R_ZvMSBYhSo5ayHrX",5,1,"High school"
"R_1dN3Vkq3TrktixZ",8,1,"Bachelors"
"R_abDZTPmtAjXIRJT",5,1,"High school"
"R_1JDXcWCXdtFEcLZ",8,2,"Bachelors"
"R_1JEELxaOxZfk4k4",4,1,"No degree/ diploma"
"R_D2DguhVe87Zm2S5",8,1,"Bachelors"
"R_2qF75AGrOr09bcd",8,1,"Bachelors"
"R_RRebsMZg5l2B9zH",5,2,"High school"
"R_cC0HLiW6uR02Yrn",8,1,"Bachelors"
"R_2X54JdXL9ClEXcO",8,2,"Bachelors"
"R_1LvC0qobiceq1s4",8,1,"Bachelors"
"R_3HLArVVjgzRr4vK",8,1,"Bachelors"
"R_25XD1qogGsgMOxq",5,1,"High school"
"R_3pi2uMWmCV3w2B4",5,1,"High school"
"R_3Rg4JsBLJdTh40D",8,1,"Bachelors"
"R_qFlWQL8QdqaEJGx",8,1,"Bachelors"
"R_1OBoexcKOfBus6F",8,1,"Bachelors"
"R_pgAMDxgj8Ooma0F",8,1,"Bachelors"
"R_32OU4J2rrH7QYNk",8,1,"Bachelors"
"R_2uWhDH3dg1PGe4O",8,1,"Bachelors"
"R_3ExQozQ6M1cj9Mw",8,1,"Bachelors"
"R_1BWaBTtP6DWgPUv",9,1,"Bachelors"
"R_1Lu1zrK8ZszBXRw",5,1,"High school"
"R_VOPyXJGn0rjp2bD",8,2,"Bachelors"
"R_2ris1hIXvaSs1kB",8,1,"Bachelors"
"R_1GC7IytxEE5kAHd",4,1,"No degree/ diploma"
"R_2qdQOlSAV4cA34t",5,1,"High school"
"R_3kzwMIZFfSgQckt",5,1,"High school"
"R_3PaYTlbmDOpZIvv",5,1,"High school"
"R_UbzsGsOza9ZJTOx",9,2,"Bachelors"
"R_2vjE3z4KuXNh2a2",8,1,"Bachelors"
"R_Cjq5KoO97U4PYzf",9,2,"Bachelors"
"R_1pM3J6xDT5H4qZH",8,1,"Bachelors"
"R_3DuVTyyFTYqI55e",5,1,"High school"
"R_3Ra9kJm1JI6K4Kt",8,1,"Bachelors"
"R_1l4zKTXAk734o1D",6,1,"College/Trades"
"R_WkEBiJlpFtNFP6V",7,1,"College/Trades"
"R_2WuL4gwgSQ1C7ns",9,1,"Bachelors"
"R_1JCk3PWI3fsONbA",10,1,"Postgrad"
"R_xsAVU6LftA3gfWF",9,1,"Bachelors"
"R_1rIWCvU8MuRHQSQ",6,1,"College/Trades"
"R_bg7b29vnUs7gLvP",11,1,"Postgrad"
"R_2Xik6QTgJCpeuDg",9,2,"Bachelors"
"R_DiYgFOuVje0hEnT",6,1,"College/Trades"
"R_30e4xFgOVpu1FWz",9,1,"Bachelors"
"R_2CZLIEXUOJeIgDs",5,1,"High school"
"R_2cd47pXrsZRsh1H",8,1,"Bachelors"
"R_3CIOVyxdGAEkWLh",9,2,"Bachelors"
"R_Rmd177LLJnDnR3X",6,1,"College/Trades"
"R_2Wu0jeDP2crJZpq",9,1,"Bachelors"
"R_3HojhMlSO6s0221",9,1,"Bachelors"
"R_1dAdPpMSNlbDJTF",9,2,"Bachelors"
"R_12MczTmNt26vkAC",9,1,"Bachelors"
"R_1nTIzCIUyStGwZJ",7,1,"College/Trades"
"R_3G88WcflupE6cZO",9,2,"Bachelors"
"R_2vigwhxt2FG5ihm",11,1,"Postgrad"
"R_2z8xJEIRjGaLtqB",10,1,"Postgrad"
"R_3OdyWbYS9KtEaMJ",5,1,"High school"
"R_1LiGTJDKOjzc0Vm",9,1,"Bachelors"
"R_29iiuc9rXjUIbVA",9,1,"Bachelors"
"R_24rayRZvHjXVLvw",7,1,"College/Trades"
"R_T7QVs5y0MqZziHT",9,2,"Bachelors"
"R_1QmtmjnzE2l5QjX",5,1,"High school"
"R_27WGBQiMpyNCHmc",9,1,"Bachelors"
"R_tPC5L8Tw6luTsop",7,1,"College/Trades"
"R_vUlT7jrXybSQ6sx",9,2,"Bachelors"
"R_1dafxXg5oKNuofQ",6,1,"College/Trades"
"R_1flnwDxMO1Y9R1Y",7,1,"College/Trades"
"R_1q57buTSmNsMIqL",9,1,"Bachelors"
"R_3pr2hyNP9hyomgo",9,2,"Bachelors"
"R_DBnspCtawnvRUNX",7,1,"College/Trades"
"R_6Dyo2klkE6NZJSN",10,1,"Postgrad"
"R_8vjQKdtPj5sdyRb",7,1,"College/Trades"
"R_6RIibXmR0wIAFHP",7,1,"College/Trades"
"R_1E4XU2dKFtuO4zV",9,1,"Bachelors"
"R_2dtJmYD8NohpbiL",6,1,"College/Trades"
