"cps19_ResponseId","cps19_income_cat"
"R_1OpYXEFGzHRUpjM",9
"R_2qdrL3J618rxYW0",9
"R_USWDAPcQEQiMmNb",9
"R_3IQaeDXy0tBzEry",6
"R_27WeMQ1asip2cMD",3
"R_3LiGZcCWJEcWV4P",6
"R_1Iu8R1UlYzVMycz",1
"R_2EcS26hqrcVYlab",5
"R_3yrt44wqQ1d4VRn",9
"R_10OBmXJyvn8feYQ",9
"R_2e5nvu0UchQctgq",9
"R_2OJdv16hkRGnjOn",8
"R_3F5wpLvNlRtNQuK",7
"R_3j7fAVYfVCewi3H",2
"R_3nNxsyTE4FFk1qD",2
"R_2yscDHNVwXYrmZO",9
"R_1XR26kb471tt8rL",4
"R_ABEKO3wGyEEpVy9",2
"R_1plJZdZH9ohyW6i",3
"R_12r93bwCcrge7qz",2
"R_brdMqsPTvQ5t1tL",2
"R_Wumhl7QEMURFqZH",3
"R_3pb4vBiIdfyAWiM",8
"R_ekyQEoYoeM4wSnT",3
"R_1IFNIX3MUwugUnq",9
"R_2D1btcWaARAVdfl",2
"R_3EH051N9vLmOOHM",7
"R_3CTxtRUVlnuZwR9",2
"R_2167E4uBFwL3tIw",3
"R_2ARPwQNr05juvGk",8
"R_3fotX1MQKDhb4UK",3
"R_3E9I0FT0lJwWnhe",5
"R_1FynCZH7i2j3zEY",2
"R_OC1iy7s0tGo4O53",3
"R_1mKp6J3wuiXNVoz",2
"R_6D3sTWGzDUwNb69",6
"R_2XgN2Ob9v6Q7leV",2
"R_1FtuwG5usWZ9Ag3",9
"R_3oMWMu5zw0JQxNB",9
"R_ZaAo5kQO1Kv4mfn",9
"R_yXg76X30iGa9qut",7
"R_2frntmrI5rljDK8",4
"R_3O9M6HHQ8gEBBXH",3
"R_ZvMSBYhSo5ayHrX",4
"R_1dN3Vkq3TrktixZ",9
"R_abDZTPmtAjXIRJT",2
"R_1JDXcWCXdtFEcLZ",2
"R_1JEELxaOxZfk4k4",4
"R_D2DguhVe87Zm2S5",9
"R_2qF75AGrOr09bcd",3
"R_RRebsMZg5l2B9zH",4
"R_cC0HLiW6uR02Yrn",2
"R_2X54JdXL9ClEXcO",3
"R_1LvC0qobiceq1s4",5
"R_3HLArVVjgzRr4vK",9
"R_25XD1qogGsgMOxq",9
"R_3pi2uMWmCV3w2B4",5
"R_3Rg4JsBLJdTh40D",5
"R_qFlWQL8QdqaEJGx",2
"R_1OBoexcKOfBus6F",4
"R_pgAMDxgj8Ooma0F",9
"R_32OU4J2rrH7QYNk",4
"R_2uWhDH3dg1PGe4O",6
"R_3ExQozQ6M1cj9Mw",4
"R_1BWaBTtP6DWgPUv",5
"R_1Lu1zrK8ZszBXRw",3
"R_VOPyXJGn0rjp2bD",9
"R_2ris1hIXvaSs1kB",5
"R_1GC7IytxEE5kAHd",4
"R_2qdQOlSAV4cA34t",2
"R_3kzwMIZFfSgQckt",8
"R_3PaYTlbmDOpZIvv",2
"R_21tgSP4vdCAIOGV",9
"R_UbzsGsOza9ZJTOx",3
"R_2vjE3z4KuXNh2a2",4
"R_Cjq5KoO97U4PYzf",2
"R_1pM3J6xDT5H4qZH",9
"R_3DuVTyyFTYqI55e",6
"R_3Ra9kJm1JI6K4Kt",3
"R_1l4zKTXAk734o1D",6
"R_WkEBiJlpFtNFP6V",2
"R_2WuL4gwgSQ1C7ns",3
"R_1JCk3PWI3fsONbA",4
"R_xsAVU6LftA3gfWF",4
"R_1rIWCvU8MuRHQSQ",7
"R_bg7b29vnUs7gLvP",8
"R_2Xik6QTgJCpeuDg",3
"R_DiYgFOuVje0hEnT",2
"R_30e4xFgOVpu1FWz",6
"R_2CZLIEXUOJeIgDs",4
"R_2cd47pXrsZRsh1H",2
"R_3CIOVyxdGAEkWLh",4
"R_Rmd177LLJnDnR3X",6
"R_2Wu0jeDP2crJZpq",4
"R_3HojhMlSO6s0221",3
"R_1dAdPpMSNlbDJTF",5
"R_12MczTmNt26vkAC",9
"R_1nTIzCIUyStGwZJ",9
"R_3G88WcflupE6cZO",4
"R_2vigwhxt2FG5ihm",4
"R_2z8xJEIRjGaLtqB",4
"R_3OdyWbYS9KtEaMJ",2
"R_1LiGTJDKOjzc0Vm",4
"R_29iiuc9rXjUIbVA",3
"R_24rayRZvHjXVLvw",7
"R_T7QVs5y0MqZziHT",4
"R_1QmtmjnzE2l5QjX",5
"R_27WGBQiMpyNCHmc",2
"R_tPC5L8Tw6luTsop",6
"R_vUlT7jrXybSQ6sx",9
"R_1dafxXg5oKNuofQ",2
"R_1flnwDxMO1Y9R1Y",4
"R_1q57buTSmNsMIqL",6
"R_3pr2hyNP9hyomgo",3
"R_DBnspCtawnvRUNX",4
"R_6Dyo2klkE6NZJSN",9
"R_8vjQKdtPj5sdyRb",5
"R_6RIibXmR0wIAFHP",2
"R_1E4XU2dKFtuO4zV",3
"R_2dtJmYD8NohpbiL",3
"R_wNWQGBNlBr8ntYZ",6
"R_2rj8rFymfb5SZAM",2
"R_2B2kTXliSOLC2aK",4
"R_3KC11IMwk6GQNyw",4
"R_2CPaDGPcWLcSkzV",2
"R_3QJty7iaxQBABMZ",4
"R_6Gtguuf06DDQ8QV",2
"R_2OTgYli09bN6AmM",4
"R_ULc9oL7y5NgHCcp",5
"R_1OAyGB8Ym0kT3lK",5
"R_28BecXIsc25YU9X",5
"R_1P0HXM6DJsVn3C0",5
"R_3njfkeEp00ONu0q",6
"R_1o5YzpTjbSI6l9g",3
"R_RKRD4qmRNrhwtTH",2
"R_1LzNk6mGtbNm9Jn",3
"R_3Mm2RbAft9fuGiv",3
"R_1dNBFv9hzoeljP0",4
"R_2TQX27jhSXdsHGx",9
