"cps19_ResponseId","language"
"R_1OpYXEFGzHRUpjM","Neither"
"R_2qdrL3J618rxYW0","English_and_French"
"R_USWDAPcQEQiMmNb","English"
"R_3IQaeDXy0tBzEry","English"
"R_27WeMQ1asip2cMD","English_and_French"
"R_3LiGZcCWJEcWV4P","English_and_French"
"R_1Iu8R1UlYzVMycz","Neither"
"R_2EcS26hqrcVYlab","English"
"R_3yrt44wqQ1d4VRn","English_and_French"
"R_10OBmXJyvn8feYQ","English"
"R_2e5nvu0UchQctgq","Neither"
"R_2OJdv16hkRGnjOn","English_and_French"
"R_3F5wpLvNlRtNQuK","English"
"R_3j7fAVYfVCewi3H","English"
"R_3nNxsyTE4FFk1qD","English"
"R_2yscDHNVwXYrmZO","English"
"R_1XR26kb471tt8rL","English"
"R_ABEKO3wGyEEpVy9","English"
"R_1plJZdZH9ohyW6i","English"
"R_12r93bwCcrge7qz","English"
"R_brdMqsPTvQ5t1tL","English"
"R_Wumhl7QEMURFqZH","English"
"R_3pb4vBiIdfyAWiM","English"
"R_ekyQEoYoeM4wSnT","Neither"
"R_1IFNIX3MUwugUnq","English"
"R_2D1btcWaARAVdfl","English"
"R_3EH051N9vLmOOHM","English"
"R_3CTxtRUVlnuZwR9","Neither"
"R_2167E4uBFwL3tIw","English"
"R_2ARPwQNr05juvGk","English_and_French"
"R_3fotX1MQKDhb4UK","English"
"R_3E9I0FT0lJwWnhe","Neither"
"R_1FynCZH7i2j3zEY","English_and_French"
"R_OC1iy7s0tGo4O53","English_and_French"
"R_1mKp6J3wuiXNVoz","English"
"R_6D3sTWGzDUwNb69","English"
"R_2XgN2Ob9v6Q7leV","English_and_French"
"R_1FtuwG5usWZ9Ag3","Neither"
"R_3oMWMu5zw0JQxNB","English_and_French"
"R_ZaAo5kQO1Kv4mfn","English"
"R_yXg76X30iGa9qut","English"
"R_2frntmrI5rljDK8","English_and_French"
"R_3O9M6HHQ8gEBBXH","English"
"R_ZvMSBYhSo5ayHrX","English"
"R_1dN3Vkq3TrktixZ","English"
"R_abDZTPmtAjXIRJT","English"
"R_1JDXcWCXdtFEcLZ","English_and_French"
"R_1JEELxaOxZfk4k4","English"
"R_D2DguhVe87Zm2S5","English"
"R_2qF75AGrOr09bcd","Neither"
"R_RRebsMZg5l2B9zH","English"
"R_cC0HLiW6uR02Yrn","English_and_French"
"R_2X54JdXL9ClEXcO","English"
"R_1LvC0qobiceq1s4","English_and_French"
"R_3HLArVVjgzRr4vK","English"
"R_25XD1qogGsgMOxq","English"
"R_3pi2uMWmCV3w2B4","English_and_French"
"R_3Rg4JsBLJdTh40D","English"
"R_qFlWQL8QdqaEJGx","English_and_French"
"R_1OBoexcKOfBus6F","English"
"R_pgAMDxgj8Ooma0F","English"
"R_32OU4J2rrH7QYNk","English"
"R_2uWhDH3dg1PGe4O","English_and_French"
"R_3ExQozQ6M1cj9Mw","English"
"R_1BWaBTtP6DWgPUv","English"
"R_1Lu1zrK8ZszBXRw","English"
"R_VOPyXJGn0rjp2bD","Neither"
"R_2ris1hIXvaSs1kB","English_and_French"
"R_1GC7IytxEE5kAHd","Neither"
"R_2qdQOlSAV4cA34t","English"
"R_3kzwMIZFfSgQckt","English_and_French"
"R_3PaYTlbmDOpZIvv","English"
"R_21tgSP4vdCAIOGV","English"
"R_UbzsGsOza9ZJTOx","English"
"R_2vjE3z4KuXNh2a2","English"
"R_Cjq5KoO97U4PYzf","English"
"R_1pM3J6xDT5H4qZH","English"
"R_3DuVTyyFTYqI55e","English"
"R_3Ra9kJm1JI6K4Kt","English"
"R_1l4zKTXAk734o1D","English"
"R_WkEBiJlpFtNFP6V","French"
"R_2WuL4gwgSQ1C7ns","English"
"R_1JCk3PWI3fsONbA","English"
"R_xsAVU6LftA3gfWF","English"
"R_1rIWCvU8MuRHQSQ","English"
"R_bg7b29vnUs7gLvP","French"
"R_2Xik6QTgJCpeuDg","English_and_French"
"R_DiYgFOuVje0hEnT","English"
"R_30e4xFgOVpu1FWz","English"
"R_2CZLIEXUOJeIgDs","English"
"R_2cd47pXrsZRsh1H","French"
"R_3CIOVyxdGAEkWLh","English"
"R_Rmd177LLJnDnR3X","French"
"R_2Wu0jeDP2crJZpq","English"
"R_3HojhMlSO6s0221","English"
"R_1dAdPpMSNlbDJTF","English"
"R_12MczTmNt26vkAC","English"
"R_1nTIzCIUyStGwZJ","English"
"R_3G88WcflupE6cZO","English"
"R_2vigwhxt2FG5ihm","English"
"R_2z8xJEIRjGaLtqB","French"
"R_3OdyWbYS9KtEaMJ","English"
"R_1LiGTJDKOjzc0Vm","English"
"R_29iiuc9rXjUIbVA","English"
"R_24rayRZvHjXVLvw","English"
"R_T7QVs5y0MqZziHT","Neither"
"R_1QmtmjnzE2l5QjX","French"
"R_27WGBQiMpyNCHmc","English"
"R_tPC5L8Tw6luTsop","French"
"R_vUlT7jrXybSQ6sx","English"
"R_1dafxXg5oKNuofQ","English"
"R_1flnwDxMO1Y9R1Y","English"
"R_1q57buTSmNsMIqL","Neither"
"R_3pr2hyNP9hyomgo","Neither"
"R_DBnspCtawnvRUNX","English"
"R_6Dyo2klkE6NZJSN","English"
"R_8vjQKdtPj5sdyRb","English"
"R_6RIibXmR0wIAFHP","French"
"R_1E4XU2dKFtuO4zV","Neither"
"R_2dtJmYD8NohpbiL","English"
"R_wNWQGBNlBr8ntYZ","English"
"R_2rj8rFymfb5SZAM","French"
"R_2B2kTXliSOLC2aK","Neither"
"R_3KC11IMwk6GQNyw","English"
"R_2CPaDGPcWLcSkzV","English_and_French"
"R_3QJty7iaxQBABMZ","English"
"R_6Gtguuf06DDQ8QV","French"
"R_2OTgYli09bN6AmM","English"
"R_ULc9oL7y5NgHCcp","English"
"R_1OAyGB8Ym0kT3lK","English"
"R_28BecXIsc25YU9X","English_and_French"
"R_1P0HXM6DJsVn3C0","English"
"R_3njfkeEp00ONu0q","English_and_French"
"R_1o5YzpTjbSI6l9g","English"
"R_RKRD4qmRNrhwtTH","English"
"R_1LzNk6mGtbNm9Jn","French"
"R_3Mm2RbAft9fuGiv","English"
"R_1dNBFv9hzoeljP0","English"
